timestamp,open,high,low,close,volume
1697414400000,27159.5,30640.5,27110.5,29990.5,3997506279,138595.57252516
1696809600000,27920.5,28000,26500,27159.5,2023739765,74617.56486337
1696204800000,27989,28623,27050,27920.5,2457003722,88491.24728342
1695600000000,26238.5,28344,25972.5,27989,2002940721,74969.64809401
1694995200000,26523,27480.5,26100,26238.5,2344604129,87192.24565501
1694390400000,25822,26895.5,24855,26523,2711706424,104107.49366876
1693785600000,25950,26436.5,25333,25822,1573421331,60862.93175761
1693180800000,26075,28136.5,25302,25950,2992060523,112271.62241566
1692576000000,26182.5,26815.5,25271,26075,2059055931,78938.23353514
1691971200000,29284.5,29676.5,23595,26182.5,3236658424,118422.14354034
1691366400000,29064,30244.5,28690,29284.5,2180414859,74017.19702621
1690761600000,29265,30049,28555,29064,2149379988,73643.23213859
1690156800000,30066.5,30082.5,28827,29265,2106782082,71916.1533599
1689552000000,30231.5,30418,29272,30066.5,2661486276,88930.3824016
1688947200000,30162,31869,29900,30231.5,3580959261,116703.94255415
1688342400000,30619.5,31542.5,29688,30162,3000295515,98111.5053853
1687737600000,30475,31310.5,29400,30619.5,3458008254,113635.65042208
1687132800000,26330.5,31475,26250.5,30475,4586498965,156838.52184654
1686528000000,25930.5,26857,24744,26330.5,2736514104,106014.14189305
1685923200000,27113,27396.5,25321.5,25930.5,3853038245,146977.64377012
1685318400000,28076,28454.5,26493,27113,2994445222,109683.18713542
1684713600000,26749,28282,25855.5,28076,2788630509,104009.4340803
1684108800000,26909.5,27672,26351.5,26749,3064508894,113280.28260635
1683504000000,28457.5,28655,25789,26909.5,3901764084,142986.12833163
1682899200000,29237,29869.5,27659.5,28457.5,4808146466,167264.99260292
1682294400000,27573,30041,26925,29237,5533586179,193234.87117649
1681689600000,30313.5,30509.5,27115,27573,5182994979,180137.09446984
1681084800000,28319,31069.5,28161,30313.5,4330845391,144119.54052794
1680480000000,28178.5,28815,27181,28319,3494728968,124485.60881526
1679875200000,27984.5,29182,26477.5,28178.5,5055814016,180995.71941667
1679270400000,28048,28945,26640,27984.5,7068975084,253137.13652135
1678665600000,22167,28487,21850.5,28048,9571855682,377446.78485722
1678060800000,22421.5,22590,19526,22167,5642971325,267939.71391278
1677456000000,23553.5,24010,21842,22421.5,4402656139,190514.82092031
1676851200000,24283,25351,22719,23553.5,6201123758,258067.77806274
1676246400000,21779,25285.5,21371,24283,7296217491,309095.6766107
1675641600000,22945,23459.5,21462,21779,4181584968,186295.24812607
1675036800000,23745.5,24271,22368,22945,4763376685,204336.50085586
1674432000000,22714,23967.5,22333,23745.5,5582044316,242805.60455246
1673827200000,20879.5,23402,20400,22714,5883529454,271789.70430411
1673222400000,17120,21481,17101,20879.5,4431999994,230742.56086861
1672617600000,16601,17175,16538,17120,1303068212,77531.0891896
1672012800000,16824,16969.5,16288.5,16601,1978526635,119196.23184768
1671408000000,16733,17048.5,16261,16824,1635664185,97643.59106307
1670803200000,17082.5,18375,16528.5,16733,2961237874,170464.71278803
1670198400000,17097.5,17417,16611,17082.5,1769962683,103779.12673042
1669593600000,16412.5,17334,15984,17097.5,2561267345,153190.02120194
1668988800000,16270,16787,15437,16412.5,2480411570,152742.18727057
1668384000000,16300.5,17174,15770.5,16270,2494857520,150339.71924189
1667779200000,20903.5,21058,15450,16300.5,6984946244,387881.73688606
1667174400000,20620.5,21468,20013,20903.5,3758766287,182317.8171738
1666569600000,19560,21088,19127,20620.5,4198799993,206769.06040755
1665964800000,19252,19708,18642.5,19560,2830351063,147147.97592635
1665360000000,19435.5,19940,18009,19252,3701162074,193742.43972962
1664755200000,19045,20465,18954.5,19435.5,4460199062,225252.38206025
1664150400000,18805,20379,18452,19045,6166800780,318798.01171359
1663545600000,19406,20052.5,18090,18805,6025481656,316866.08727068
1662940800000,21827.5,22810.5,19300,19406,5953315659,287365.35879179
1662336000000,19995.5,21865.5,18461,21827.5,5594103929,278852.83889716
1661731200000,19550.5,20573,19513,19995.5,5129309085,256452.96104284
1661126400000,21508.5,21887,19517.5,19550.5,5314014392,253256.30048439
1660521600000,24297.5,25211,20751,21508.5,6151555275,271762.01780026
1659916800000,23166,25042.5,22517,24297.5,5477872233,228506.61122807
1659312000000,23301,23649,22369,23166,4359399269,189057.61600003
1658707200000,22566.5,24700,20707.5,23301,6774814722,297188.2693775
1658102400000,20779.5,24269,20751,22566.5,9250209673,405909.4212232
1657497600000,20836.5,21667.5,18857.5,20779.5,6792528180,335333.38618165
1656892800000,19279.5,22552,19024.5,20836.5,6637902512,322017.25252672
1656288000000,21022.5,21539,18555,19279.5,7399410522,373355.92391368
1655683200000,20534.5,21898.5,19588.5,21022.5,7959747988,383693.61879573
1655078400000,26525,26835.5,17567,20534.5,18407182240,856050.27630551
1654473600000,29873,31746,26505.5,26525,11343359641,382543.377076
1653868800000,29424,32392,29226,29873,7592606584,248688.08976957
1653264000000,30253,30631,27929.5,29424,9611442574,327993.73124645
1652659200000,31273.5,31273.5,28600,30253,8930007360,300393.42114726
1652054400000,34015,34233.5,25222,31273.5,19905817963,658351.34814597
1651449600000,38458.5,40031.5,33655,34015,11156765994,301427.53806882
1650844800000,39441,40815,37375,38458.5,9697465855,248948.08818798
1650240000000,39670,42973,38450,39441,8308543406,204659.75783858
1649635200000,42147,42388,39180,39670,8252046659,204057.21035491
1649030400000,46401.5,47200,41850.5,42147,10091537460,228193.09811749
1648425600000,46820,48207.5,44111,46401.5,12625761475,270451.08323475
1647820800000,41267.5,46973.5,40488,46820,10238164820,236982.18624392
1647216000000,37754.5,42400,37466,41267.5,9971443477,247087.55753305
1646611200000,38395.5,42565,37151.5,37754.5,10958637830,278664.36292683
1646006400000,37700,45322,37440,38395.5,12107857413,291468.64920212
1645401600000,38377.5,40300,34322,37700,12746264102,337416.09822453
1644796800000,42051,44762.5,37847,38377.5,8911277177,213762.42881387
1644192000000,42378,45848,41630,42051,11568064406,265760.03998592
1643587200000,37913.5,42677,36258,42378,8995880250,232037.02071869
1642982400000,36270,38895,32903,37913.5,12001661916,329277.02964317
1642377600000,43056.5,43496.5,33911,36270,14388304943,369530.9844031
1641772800000,41841,44451,39595,43056.5,9870426060,232394.12336362
1641168000000,47300.5,47614.5,40500,41841,12324390149,282055.2261768169
1640563200000,50776,52147.5,45629,47300.5,10790870742,224588.8419219347
1639958400000,46653,51816,45568,50776,10927824416,222554.2408421698
1639353600000,50094.5,50163.5,45375,46653,14634853107,308004.5536950565
1638748800000,49432,51957,46756,50094.5,12940918089,262946.370878848
1638144000000,57336,59260,41274,49432,22529531623,423475.4681842787
1637539200000,58660,59545,53304.5,57336,16626851766,295179.2575601938
1636934400000,65560.5,66400,55650,58660,20602638059,343838.4877521703
1636329600000,63340.5,69182.5,62222,65560.5,22720839309,346336.9868273961
1635724800000,61421.5,64390.5,59408.5,63340.5,18141864550,292936.6096316808
1635120000000,60926,63790,57600,61421.5,24075822867,394501.404710582
1634515200000,61574.5,67167.5,59515,60926,34606276050,549871.9975083816
1633910400000,54725.5,63100,53800,61574.5,28937317233,496932.022836481
1633305600000,48208,56691.5,46939,54725.5,25459547853,482272.456684585
1632700800000,43190,49300,40707,48208,19737378486,445371.0582006081
1632096000000,47268,47325,39500,43190,30076336179,700383.8149172293
1631491200000,46034.5,48800,43340,47268,21940753345,468837.4265269481
1630886400000,51834,52949,42622,46034.5,33009008375,698026.7591665501
1630281600000,48815,51955,46576,51834,32309318571,658962.2306659705
1629676800000,49303,50564.5,46257,48815,27332098754,564423.5782763574
1629072000000,47025.5,49834.5,43933,49303,29569692092,633143.0676214139
1628467200000,43821,48219.5,42810,47025.5,33953692277,741321.829417848
1627862400000,39833,45385,37282.5,43821,35774580737,870828.6373105074
1627257600000,35405.5,42605.5,35215.5,39833,38198704755,967933.644789202
1626652800000,31773,35426,29258,35405.5,22009746072,688052.5138626992
1626048000000,34243,34688.5,31020,31773,21391452104,662827.829043172
1625443200000,35293,35293.5,32070.5,34243,24072737210,713247.512383582
1624838400000,34713,36605.5,32635.5,35293,29955478372,868365.4493018148
1624233600000,35595,35749,28726.5,34713,47155587766,1446822.0599235087
1623628800000,39031.5,41338,33311.5,35595,33572831574,886834.8215545234
1623024000000,35786.5,39369,31009,39031.5,33569804476,945834.5741192419
1622419200000,35661,39440,34180,35786.5,25217993832,684274.9530725394
1621814400000,34707,40890.5,33386.5,35661,32045877853,861882.4397771257
1621209600000,46421.5,46605.5,29800,34707,79353625365,2109989.0404879027
